id,candidate,votes,state,county/township
359,clinton,2491,CT,Killingly
359,trump,3916,CT,Killingly
392,clinton,1877,CT,Killingworth
392,trump,1941,CT,Killingworth
394,clinton,1583,CT,Lebanon
394,trump,2115,CT,Lebanon
352,clinton,3330,CT,Ledyard
352,trump,3779,CT,Ledyard
420,clinton,868,CT,Lisbon
420,trump,1175,CT,Lisbon
385,clinton,2067,CT,Litchfield
385,trump,2359,CT,Litchfield
429,clinton,888,CT,Lyme
429,trump,520,CT,Lyme
331,clinton,5935,CT,Madison
331,trump,4500,CT,Madison
292,clinton,15069,CT,Manchester
292,trump,8353,CT,Manchester
327,clinton,8305,CT,Mansfield
327,trump,2430,CT,Mansfield
400,clinton,1669,CT,Marlborough
400,trump,1758,CT,Marlborough
295,clinton,12788,CT,Meriden
295,trump,8661,CT,Meriden
388,clinton,1664,CT,Middlebury
388,trump,2630,CT,Middlebury
410,clinton,1152,CT,Middlefield
410,trump,1359,CT,Middlefield
297,clinton,12957,CT,Middletown
297,trump,7124,CT,Middletown
287,clinton,13596,CT,Milford
287,trump,13383,CT,Milford
337,clinton,4108,CT,Monroe
337,trump,5571,CT,Monroe
349,clinton,3340,CT,Montville
349,trump,4156,CT,Montville
432,clinton,509,CT,Morris
432,trump,838,CT,Morris
323,clinton,5219,CT,Naugatuck
323,trump,7310,CT,Naugatuck
296,clinton,15433,CT,New Britain
296,trump,6046,CT,New Britain
341,clinton,4653,CT,New Canaan
341,trump,3929,CT,New Canaan
351,clinton,3057,CT,New Fairfield
351,trump,4298,CT,New Fairfield
390,clinton,1642,CT,New Hartford
390,trump,2238,CT,New Hartford
280,clinton,33046,CT,New Haven
280,trump,4446,CT,New Haven
343,clinton,6305,CT,New London
343,trump,1924,CT,New London
318,clinton,6136,CT,New Milford
318,trump,6863,CT,New Milford
303,clinton,8393,CT,Newington
303,trump,6547,CT,Newington
307,clinton,7395,CT,Newtown
307,trump,7130,CT,Newtown
442,clinton,518,CT,Norfolk
442,trump,373,CT,Norfolk
366,clinton,2583,CT,North Branford
366,trump,3207,CT,North Branford
428,clinton,732,CT,North Canaan
428,trump,703,CT,North Canaan
321,clinton,5735,CT,North Haven
321,trump,7197,CT,North Haven
405,clinton,1282,CT,North Stonington
405,trump,1558,CT,North Stonington
281,clinton,24229,CT,Norwalk
281,trump,12288,CT,Norwalk
320,clinton,7453,CT,Norwich
320,trump,5217,CT,Norwich
384,clinton,2473,CT,Old Lyme
384,trump,1990,CT,Old Lyme
375,clinton,2726,CT,Old Saybrook
375,trump,2541,CT,Old Saybrook
347,clinton,3834,CT,Orange
347,trump,4221,CT,Orange
356,clinton,2398,CT,Oxford
356,trump,4685,CT,Oxford
364,clinton,2177,CT,Plainfield
364,trump,3512,CT,Plainfield
344,clinton,3713,CT,Plainville
344,trump,4400,CT,Plainville
369,clinton,1884,CT,Plymouth
369,trump,3767,CT,Plymouth
418,clinton,1070,CT,Pomfret
418,trump,1013,CT,Pomfret
379,clinton,2493,CT,Portland
379,trump,2491,CT,Portland
412,clinton,978,CT,Preston
412,trump,1377,CT,Preston
372,clinton,1661,CT,Prospect
372,trump,3700,CT,Prospect
399,clinton,1562,CT,Putnam
399,trump,1845,CT,Putnam
373,clinton,3127,CT,Redding
373,trump,2088,CT,Redding
317,clinton,7907,CT,Ridgefield
317,trump,5673,CT,Ridgefield
342,clinton,4687,CT,Rocky Hill
342,trump,3951,CT,Rocky Hill
430,clinton,765,CT,Roxbury
430,trump,638,CT,Roxbury
413,clinton,1029,CT,Salem
413,trump,1182,CT,Salem
415,clinton,1671,CT,Salisbury
415,trump,545,CT,Salisbury
444,clinton,310,CT,Scotland
444,trump,518,CT,Scotland
354,clinton,2777,CT,Seymour
354,trump,4439,CT,Seymour
433,clinton,809,CT,Sharon
433,trump,520,CT,Sharon
424,clinton,830,CT,Shelton
424,trump,977,CT,Shelton
421,clinton,976,CT,Sherman
421,trump,1065,CT,Sherman
305,clinton,8785,CT,Simsbury
305,trump,5876,CT,Simsbury
368,clinton,2422,CT,Somers
